,user_id,start_at,end_at,routine
0,P3019,00:00:00,00:15:00,SLEEP
1,P3019,00:15:00,00:30:00,SLEEP
2,P3019,00:30:00,00:45:00,SLEEP
3,P3019,00:45:00,01:00:00,SLEEP
4,P3019,01:00:00,01:15:00,SLEEP
5,P3019,01:15:00,01:30:00,SLEEP
6,P3019,01:30:00,01:45:00,SLEEP
7,P3019,01:45:00,02:00:00,SLEEP
8,P3019,02:00:00,02:15:00,SLEEP
9,P3019,02:15:00,02:30:00,SLEEP
10,P3019,02:30:00,02:45:00,SLEEP
11,P3019,02:45:00,03:00:00,SLEEP
12,P3019,03:00:00,03:15:00,SLEEP
13,P3019,03:15:00,03:30:00,SLEEP
14,P3019,03:30:00,03:45:00,SLEEP
15,P3019,03:45:00,04:00:00,SLEEP
16,P3019,04:00:00,04:15:00,SLEEP
17,P3019,04:15:00,04:30:00,SLEEP
18,P3019,04:30:00,04:45:00,SLEEP
19,P3019,04:45:00,05:00:00,SLEEP
20,P3019,05:00:00,05:15:00,SLEEP
21,P3019,05:15:00,05:30:00,SLEEP
22,P3019,05:30:00,05:45:00,SLEEP
23,P3019,05:45:00,06:00:00,SLEEP
24,P3019,06:00:00,06:15:00,SLEEP
25,P3019,06:15:00,06:30:00,SLEEP
26,P3019,06:30:00,06:45:00,SLEEP
27,P3019,06:45:00,07:00:00,SLEEP
28,P3019,07:00:00,07:15:00,SLEEP
29,P3019,07:15:00,07:30:00,SLEEP
30,P3019,07:30:00,07:45:00,SLEEP
31,P3019,07:45:00,08:00:00,SLEEP
32,P3019,08:00:00,08:15:00,INDOOR
33,P3019,08:15:00,08:30:00,INDOOR
34,P3019,08:45:00,09:00:00,INDOOR
35,P3019,09:00:00,09:15:00,INDOOR
36,P3019,09:15:00,09:30:00,INDOOR
37,P3019,09:30:00,09:45:00,INDOOR
38,P3019,09:45:00,10:00:00,INDOOR
39,P3019,10:15:00,10:30:00,INDOOR
40,P3019,10:30:00,10:45:00,INDOOR
41,P3019,10:45:00,11:00:00,INDOOR
42,P3019,11:30:00,11:45:00,INDOOR
43,P3019,11:45:00,12:00:00,INDOOR
44,P3019,12:00:00,12:15:00,INDOOR
45,P3019,12:45:00,13:00:00,INDOOR
46,P3019,13:15:00,13:30:00,INDOOR
47,P3019,16:00:00,16:15:00,INDOOR
48,P3019,16:15:00,16:30:00,INDOOR
49,P3019,17:15:00,17:30:00,INDOOR
50,P3019,18:15:00,18:30:00,INDOOR
51,P3019,18:30:00,18:45:00,INDOOR
52,P3019,19:00:00,19:15:00,INDOOR
53,P3019,19:15:00,19:30:00,INDOOR
54,P3019,20:00:00,20:15:00,INDOOR
55,P3019,20:30:00,20:45:00,SLEEP
56,P3019,20:45:00,21:00:00,SLEEP
57,P3019,21:00:00,21:15:00,INDOOR
58,P3019,21:15:00,21:30:00,SLEEP
59,P3019,21:30:00,21:45:00,SLEEP
60,P3019,21:45:00,22:00:00,SLEEP
61,P3019,22:00:00,22:15:00,SLEEP
62,P3019,22:15:00,22:30:00,SLEEP
63,P3019,22:30:00,22:45:00,SLEEP
64,P3019,22:45:00,23:00:00,SLEEP
65,P3019,23:00:00,23:15:00,SLEEP
66,P3019,23:15:00,23:30:00,SLEEP
67,P3019,23:30:00,23:45:00,SLEEP
68,P3019,23:45:00,00:00:00,SLEEP
