user_id,start_at,end_at,weekday,routine
P3019,00:00:00,00:15:00,1,SLEEP
P3019,00:00:00,00:15:00,5,SLEEP
P3019,00:15:00,00:30:00,1,SLEEP
P3019,00:15:00,00:30:00,3,SLEEP
P3019,00:15:00,00:30:00,5,SLEEP
P3019,00:30:00,00:45:00,1,SLEEP
P3019,00:30:00,00:45:00,3,SLEEP
P3019,00:30:00,00:45:00,5,SLEEP
P3019,00:45:00,01:00:00,1,SLEEP
P3019,00:45:00,01:00:00,2,INDOOR
P3019,00:45:00,01:00:00,3,SLEEP
P3019,00:45:00,01:00:00,5,SLEEP
P3019,01:00:00,01:15:00,3,SLEEP
P3019,01:00:00,01:15:00,5,SLEEP
P3019,01:15:00,01:30:00,2,SLEEP
P3019,01:15:00,01:30:00,3,SLEEP
P3019,01:15:00,01:30:00,5,SLEEP
P3019,01:30:00,01:45:00,2,SLEEP
P3019,01:30:00,01:45:00,3,SLEEP
P3019,01:30:00,01:45:00,5,SLEEP
P3019,01:45:00,02:00:00,2,SLEEP
P3019,01:45:00,02:00:00,3,SLEEP
P3019,01:45:00,02:00:00,5,SLEEP
P3019,02:00:00,02:15:00,0,SLEEP
P3019,02:00:00,02:15:00,2,SLEEP
P3019,02:00:00,02:15:00,3,SLEEP
P3019,02:00:00,02:15:00,5,SLEEP
P3019,02:15:00,02:30:00,0,SLEEP
P3019,02:15:00,02:30:00,2,SLEEP
P3019,02:15:00,02:30:00,3,SLEEP
P3019,02:15:00,02:30:00,5,INDOOR
P3019,02:30:00,02:45:00,0,SLEEP
P3019,02:30:00,02:45:00,2,SLEEP
P3019,02:30:00,02:45:00,3,SLEEP
P3019,02:30:00,02:45:00,5,SLEEP
P3019,02:45:00,03:00:00,0,SLEEP
P3019,02:45:00,03:00:00,2,SLEEP
P3019,02:45:00,03:00:00,3,SLEEP
P3019,02:45:00,03:00:00,4,INDOOR
P3019,02:45:00,03:00:00,5,SLEEP
P3019,03:00:00,03:15:00,0,SLEEP
P3019,03:00:00,03:15:00,2,SLEEP
P3019,03:00:00,03:15:00,3,SLEEP
P3019,03:00:00,03:15:00,4,INDOOR
P3019,03:00:00,03:15:00,5,SLEEP
P3019,03:15:00,03:30:00,0,SLEEP
P3019,03:15:00,03:30:00,2,INDOOR
P3019,03:15:00,03:30:00,3,SLEEP
P3019,03:15:00,03:30:00,4,INDOOR
P3019,03:15:00,03:30:00,5,SLEEP
P3019,03:30:00,03:45:00,0,SLEEP
P3019,03:30:00,03:45:00,2,SLEEP
P3019,03:30:00,03:45:00,3,SLEEP
P3019,03:30:00,03:45:00,5,SLEEP
P3019,03:45:00,04:00:00,0,SLEEP
P3019,03:45:00,04:00:00,2,SLEEP
P3019,03:45:00,04:00:00,3,SLEEP
P3019,03:45:00,04:00:00,4,INDOOR
P3019,03:45:00,04:00:00,5,SLEEP
P3019,04:00:00,04:15:00,0,SLEEP
P3019,04:00:00,04:15:00,2,SLEEP
P3019,04:00:00,04:15:00,3,SLEEP
P3019,04:00:00,04:15:00,5,SLEEP
P3019,04:15:00,04:30:00,0,SLEEP
P3019,04:15:00,04:30:00,2,SLEEP
P3019,04:15:00,04:30:00,3,SLEEP
P3019,04:15:00,04:30:00,4,INDOOR
P3019,04:15:00,04:30:00,5,SLEEP
P3019,04:30:00,04:45:00,0,SLEEP
P3019,04:30:00,04:45:00,2,SLEEP
P3019,04:30:00,04:45:00,3,SLEEP
P3019,04:30:00,04:45:00,5,SLEEP
P3019,04:45:00,05:00:00,0,SLEEP
P3019,04:45:00,05:00:00,2,SLEEP
P3019,04:45:00,05:00:00,3,SLEEP
P3019,04:45:00,05:00:00,5,SLEEP
P3019,05:00:00,05:15:00,0,SLEEP
P3019,05:00:00,05:15:00,2,INDOOR
P3019,05:00:00,05:15:00,3,SLEEP
P3019,05:00:00,05:15:00,5,SLEEP
P3019,05:15:00,05:30:00,0,SLEEP
P3019,05:15:00,05:30:00,2,SLEEP
P3019,05:15:00,05:30:00,3,SLEEP
P3019,05:15:00,05:30:00,5,SLEEP
P3019,05:30:00,05:45:00,0,SLEEP
P3019,05:30:00,05:45:00,2,SLEEP
P3019,05:30:00,05:45:00,3,SLEEP
P3019,05:30:00,05:45:00,4,INDOOR
P3019,05:30:00,05:45:00,5,SLEEP
P3019,05:45:00,06:00:00,0,SLEEP
P3019,05:45:00,06:00:00,2,SLEEP
P3019,05:45:00,06:00:00,3,SLEEP
P3019,05:45:00,06:00:00,5,SLEEP
P3019,06:00:00,06:15:00,0,SLEEP
P3019,06:00:00,06:15:00,2,SLEEP
P3019,06:00:00,06:15:00,3,SLEEP
P3019,06:00:00,06:15:00,5,SLEEP
P3019,06:15:00,06:30:00,0,SLEEP
P3019,06:15:00,06:30:00,2,SLEEP
P3019,06:15:00,06:30:00,3,SLEEP
P3019,06:15:00,06:30:00,5,SLEEP
P3019,06:30:00,06:45:00,0,SLEEP
P3019,06:30:00,06:45:00,2,SLEEP
P3019,06:30:00,06:45:00,3,SLEEP
P3019,06:30:00,06:45:00,5,SLEEP
P3019,06:45:00,07:00:00,0,SLEEP
P3019,06:45:00,07:00:00,2,SLEEP
P3019,06:45:00,07:00:00,3,SLEEP
P3019,06:45:00,07:00:00,5,SLEEP
P3019,07:00:00,07:15:00,0,SLEEP
P3019,07:00:00,07:15:00,2,SLEEP
P3019,07:00:00,07:15:00,3,INDOOR
P3019,07:00:00,07:15:00,5,SLEEP
P3019,07:15:00,07:30:00,5,SLEEP
P3019,07:30:00,07:45:00,5,SLEEP
P3019,07:45:00,08:00:00,5,SLEEP
P3019,08:00:00,08:15:00,0,INDOOR
P3019,08:00:00,08:15:00,2,INDOOR
P3019,08:00:00,08:15:00,4,INDOOR
P3019,08:00:00,08:15:00,5,SLEEP
P3019,08:15:00,08:30:00,0,INDOOR
P3019,08:15:00,08:30:00,2,INDOOR
P3019,08:15:00,08:30:00,3,INDOOR
P3019,08:15:00,08:30:00,5,SLEEP
P3019,08:45:00,09:00:00,2,INDOOR
P3019,09:00:00,09:15:00,2,INDOOR
P3019,09:15:00,09:30:00,2,INDOOR
P3019,09:30:00,09:45:00,0,INDOOR
P3019,09:30:00,09:45:00,2,INDOOR
P3019,09:45:00,10:00:00,0,INDOOR
P3019,09:45:00,10:00:00,5,INDOOR
P3019,10:15:00,10:30:00,5,INDOOR
P3019,10:30:00,10:45:00,5,INDOOR
P3019,10:45:00,11:00:00,0,INDOOR
P3019,10:45:00,11:00:00,5,INDOOR
P3019,10:45:00,11:00:00,6,INDOOR
P3019,11:30:00,11:45:00,6,INDOOR
P3019,11:45:00,12:00:00,2,INDOOR
P3019,12:00:00,12:15:00,2,INDOOR
P3019,12:45:00,13:00:00,2,INDOOR
P3019,13:15:00,13:30:00,0,INDOOR
P3019,16:00:00,16:15:00,0,INDOOR
P3019,16:00:00,16:15:00,6,INDOOR
P3019,16:15:00,16:30:00,2,INDOOR
P3019,16:15:00,16:30:00,6,INDOOR
P3019,17:15:00,17:30:00,0,INDOOR
P3019,18:15:00,18:30:00,2,INDOOR
P3019,18:30:00,18:45:00,5,INDOOR
P3019,19:00:00,19:15:00,1,INDOOR
P3019,19:15:00,19:30:00,1,INDOOR
P3019,20:00:00,20:15:00,6,INDOOR
P3019,20:30:00,20:45:00,1,SLEEP
P3019,20:45:00,21:00:00,1,SLEEP
P3019,21:00:00,21:15:00,1,SLEEP
P3019,21:00:00,21:15:00,2,INDOOR
P3019,21:15:00,21:30:00,1,SLEEP
P3019,21:30:00,21:45:00,1,SLEEP
P3019,21:30:00,21:45:00,5,INDOOR
P3019,21:45:00,22:00:00,1,SLEEP
P3019,21:45:00,22:00:00,5,SLEEP
P3019,22:00:00,22:15:00,1,SLEEP
P3019,22:00:00,22:15:00,5,SLEEP
P3019,22:15:00,22:30:00,1,SLEEP
P3019,22:15:00,22:30:00,5,SLEEP
P3019,22:30:00,22:45:00,1,SLEEP
P3019,22:30:00,22:45:00,3,INDOOR
P3019,22:30:00,22:45:00,5,SLEEP
P3019,22:45:00,23:00:00,1,SLEEP
P3019,22:45:00,23:00:00,5,SLEEP
P3019,23:00:00,23:15:00,1,SLEEP
P3019,23:00:00,23:15:00,2,INDOOR
P3019,23:00:00,23:15:00,5,SLEEP
P3019,23:15:00,23:30:00,1,SLEEP
P3019,23:15:00,23:30:00,5,SLEEP
P3019,23:30:00,23:45:00,1,SLEEP
P3019,23:30:00,23:45:00,5,SLEEP
P3019,23:45:00,00:00:00,1,SLEEP
P3019,23:45:00,00:00:00,5,SLEEP
P3019,23:45:00,00:00:00,6,INDOOR
